company_name,industry,funding_rounds,total_funding,job_postings_30d,employee_growth_pct,hiring_roles,industry_growth_rate,regional_employment_trend,funding_per_employee,days_since_last_funding,growth_momentum,is_hot_lead,last_funding_year,last_funding_month,last_funding_day,last_funding_day_of_week,last_funding_day_of_year,last_funding_week_of_year,last_funding_is_weekend
"Mendez, Murray and Dean",Tech,2.62433414709013,12366884.28,3.9070802045607063,25.38287760090705,Engineering,11.5,-2.4,3951.081239616613,418,49467537.12,0,2023,12,30,5,364,52,True
Frazier-Herrera,Healthcare,2.89157122800399,4007249.04,11.912646183765252,50.73654736674246,Marketing,20.0,-1.0,843.6313768421053,51,44079739.44,1,2024,12,31,1,366,1,False
Stewart-Gordon,Retail,1.9133457133145129,5061103.5,3.756741508696881,39.7449972730969,Sales,12.3,6.3,1284.544035532995,277,25305517.5,0,2024,5,19,6,140,20,True
"Escobar, Hudson and King",Retail,1.8951664994820383,7897932.18,7.174404609736882,41.765773848125775,Sales,10.6,9.6,2400.5872887537994,1482,55285525.26,0,2021,1,30,5,30,4,True
Rasmussen and Sons,Fintech,2.162453582072024,2437458.88,15.506055412159103,-8.143648878103072,Engineering,16.0,4.9,-2901.736761904762,637,38999342.08,0,2023,5,25,3,145,21,False
Taylor PLC,SaaS,2.7152591216230517,5864742.49,11.536114239261428,3.0352355709176795,Marketing,13.2,11.3,14661.856225,1280,64512167.39,0,2021,8,20,4,232,33,False
"Lopez, Pratt and Patel",Fintech,1.0206010211407548,1939542.31,10.186155145550831,23.851978270545388,Operations,8.3,1.4,705.2881127272727,1494,19395423.1,0,2021,1,18,0,18,3,False
Boyle Ltd,Retail,0.8759936486911061,2966724.51,8.52803001615339,-1.308685860302484,Marketing,22.6,10.6,-59334.49019999999,1768,23733796.08,0,2020,4,19,6,110,16,True
Boyd and Sons,Retail,0.8116583972821577,7307215.35,9.082083268473294,-0.5905725354882233,Sales,18.2,-0.5,146144.307,856,51150507.45,0,2022,10,18,1,291,42,False
Carter LLC,SaaS,0.9293315151957308,350336.93,14.370351035043022,23.971652070312494,Marketing,12.8,1.3,134.7449730769231,27,4554380.09,0,2025,1,24,4,24,4,False
Perry-Fuller,Fintech,1.505378649331146,8519511.7,10.537150030231468,0.9250010485727858,Sales,13.3,7.7,44839.53526315789,468,93714628.7,0,2023,11,10,4,314,45,False
Morales-Davis,Fintech,1.0176833240650422,7354031.18,8.784792508081452,46.24757730739727,Sales,10.9,0.3,1824.8216327543423,1,66186280.62,0,2025,2,19,2,50,8,False
"Smith, James and Rodgers",Tech,5.168606328564519,6435423.97,14.39562487575345,27.270953569065384,Engineering,26.5,3.9,2383.490359259259,1813,83660511.61,1,2020,3,5,3,65,10,False
Barber LLC,SaaS,4.415456030011886,9837476.88,8.678260278993786,23.630729961291564,Engineering,26.8,7.3,3643.509955555556,1720,98374768.8,0,2020,6,6,5,158,23,True
Griffith LLC,Retail,2.1785506980435607,1825374.46,12.360406132838865,38.29748461355518,Sales,9.3,14.4,468.0447333333333,1498,23729867.98,0,2021,1,14,3,14,2,False
Kim-Johns,Retail,3.3146799588928118,3129871.0,12.476585705869423,8.135952315826739,Operations,6.3,9.9,3912.33875,1276,40688323.0,0,2021,8,24,1,236,34,False
Anderson LLC,Tech,2.7379129437915184,1055160.86,12.214789243459744,34.82107611131917,Operations,22.6,-1.7,304.95978612716766,1279,12661930.32,0,2021,8,21,5,233,33,True
Santana Inc,Fintech,3.963674794284679,3468460.09,12.597137647100514,14.134160394053472,Operations,29.6,11.2,2181.421440251572,1233,41621521.08,0,2021,10,6,2,279,40,False
Brown Ltd,Healthcare,1.8719379316374445,1672822.37,10.872670436005295,19.38544403723063,Marketing,28.7,-0.4,840.6142562814072,1124,15055401.330000002,0,2022,1,23,6,23,3,True
Lewis PLC,Tech,2.052984673368555,2278520.86,9.95727182974371,38.26996590285757,Sales,11.4,1.7,542.5049666666666,1224,22785208.6,0,2021,10,15,4,288,41,False
"Harper, Dean and Johnson",Healthcare,4.662659964623915,11948635.93,11.46922847137574,58.62128406913591,Operations,9.5,-4.9,2484.1238939708937,1579,155332267.09,1,2020,10,25,6,299,43,True
Huber-Torres,SaaS,1.852036190372079,4592264.87,5.969179434355931,-8.79286194054472,Marketing,8.7,-2.6,-5740.3310875,372,27553589.22,0,2024,2,14,2,45,7,False
Conrad-Matthews,Healthcare,2.9093560024745977,471873.94,15.861162998544865,-5.798499507152656,Sales,26.7,13.6,-1123.509380952381,278,7549983.04,0,2024,5,18,5,139,20,True
Chase-Henderson,Retail,2.093778035646256,2507859.44,8.575189822966538,43.634162100492766,Engineering,29.4,-1.4,595.6910783847981,1532,20062875.52,0,2020,12,11,4,346,50,False
Shaffer-Johnson,Fintech,3.234993063328732,8122155.75,7.735013751404213,0.0,Operations,11.2,2.9,81221.5575,889,64977246.0,0,2022,9,15,3,258,37,False
"Bell, Bauer and Reyes",Retail,1.882889826940403,2400768.79,11.26655697762149,20.666054408113627,Operations,6.6,11.7,1062.2870752212389,1729,28809225.48,1,2020,5,28,3,149,22,False
"Fox, Austin and Cooke",SaaS,2.678612815636991,2572850.8,10.72598501147609,30.779328447826455,Operations,24.5,14.8,770.314610778443,1329,30874209.6,1,2021,7,2,4,183,26,False
Williams-Haley,Tech,2.046352209654775,3890122.95,8.675960635444483,30.116925718280164,Engineering,7.4,-0.6,1430.1922610294118,776,38901229.5,0,2023,1,6,4,6,1,False
"Jones, Edwards and Brown",Retail,0.995313467562668,2735492.44,7.317820971127208,14.709991200096038,Sales,20.2,-2.2,1996.709810218978,1026,19148447.08,0,2022,5,1,6,121,17,True
Haynes-Rivera,Tech,4.293257051627353,4848842.9,10.955823703204926,26.40139509961778,Marketing,24.7,-0.5,1605.5771192052982,913,48488429.0,0,2022,8,22,0,234,34,False
"Mason, Cain and Scott",Fintech,4.232965828307453,12698943.06,11.963601573254614,47.753231376199,Operations,22.0,-2.7,2623.7485661157025,741,165086259.78,1,2023,2,10,4,41,6,False
Velez and Sons,SaaS,4.090164348646945,9918376.8,9.529117920283136,36.35717196159294,Engineering,5.5,-0.1,2536.6692583120207,692,99183768.0,0,2023,3,31,4,90,13,False
Koch-Lopez,Retail,5.572961362457805,4992671.54,7.821004669505471,14.269235435512378,Sales,22.6,13.4,4092.353721311476,1603,39941372.32,0,2020,10,1,3,275,40,False
Jacobs-Bennett,Tech,5.441272826511518,858393.36,7.984790793745455,26.53352161388821,Marketing,16.5,2.1,297.0219238754325,834,8583933.6,0,2022,11,9,2,313,45,False
"Choi, Foster and Hernandez",Tech,0.8570576179106476,9455185.15,6.47229752071539,16.96615931245695,Operations,14.2,2.5,5765.356798780488,1730,66186296.05,0,2020,5,27,2,148,22,False
"Reese, Garcia and Garcia",SaaS,3.840395786017567,4170820.18,12.04761747099752,-4.344171179410218,Engineering,16.8,0.6,-14382.138551724138,1616,41708201.8,0,2020,9,18,4,262,38,False
Burke-Johnson,SaaS,3.353172281464865,6171717.18,19.17413690856232,4.9156360545069,Operations,15.7,6.2,10286.1953,1050,123434343.6,0,2022,4,7,3,97,14,False
Moore LLC,SaaS,2.744078318877242,3141502.68,8.363649912446276,12.550273410444952,Engineering,25.3,4.7,2398.093648854962,1629,31415026.8,0,2020,9,5,5,249,36,True
"Luna, Underwood and Tapia",Fintech,1.7199516800365526,2981564.02,13.6399611412273,14.8019583421247,Marketing,21.8,13.8,2028.2748435374149,282,32797204.22,0,2024,5,14,1,135,20,False
"Robinson, Moore and Powers",Retail,2.061098195626419,11734366.98,10.451862432161176,30.73963033144008,Marketing,28.8,14.0,3482.008005934718,968,117343669.8,0,2022,6,28,1,179,26,False
"Norton, Ortiz and Cuevas",Fintech,2.6337426844767924,325351.49,7.014163923183462,38.08988069603397,Operations,8.6,10.9,81.1350349127182,1044,2602811.92,0,2022,4,13,2,103,15,False
"Briggs, Wright and Alexander",Tech,3.322800473005878,10261175.84,7.585829156935636,-1.5258679180770307,Marketing,15.6,13.6,-171019.59733333334,733,71828230.88,0,2023,2,18,5,49,7,True
Yates PLC,Retail,2.175639799720913,341957.65,16.712205135869578,26.09133525515926,Engineering,11.8,11.3,134.10103921568628,1187,5471322.4,0,2021,11,21,6,325,46,True
Lambert-Osborne,Healthcare,5.051144189117204,5449743.43,10.105081763649643,23.85883905832218,Marketing,19.5,9.1,1953.31305734767,943,65396921.16,1,2022,7,23,5,204,29,True
"Rodriguez, Gonzalez and Acosta",Healthcare,3.433120367607236,3383426.21,12.724892797911624,25.275067009197763,Marketing,13.5,-2.9,1358.8057068273092,1500,43984540.73,1,2021,1,12,1,12,2,False
Adams and Sons,Healthcare,0.8620208522800128,7585822.41,7.913975669756149,40.3841548188658,Engineering,21.6,10.8,1641.9529025974027,277,60686579.28,0,2024,5,19,6,140,20,True
"Williams, Smith and Sanders",SaaS,4.509371061132019,3030347.52,12.644039207610842,7.458333398177811,Operations,5.7,-1.4,3695.545756097561,1104,36364170.24,0,2022,2,12,5,43,6,True
"Strickland, Juarez and Robbins",Healthcare,4.177659254595139,5641098.26,7.869678686682175,12.91578278274936,Engineering,28.9,0.9,3944.8239580419577,390,39487687.82,0,2024,1,27,5,27,4,True
Brown PLC,Retail,2.734541274652841,3392094.62,8.606818731280166,12.989163491455466,Sales,5.4,3.6,2440.3558417266186,909,27136756.96,0,2022,8,26,4,238,34,False
"Johnson, Nelson and Williams",Tech,3.01664056583204,4626864.05,10.588641732833162,-7.243478812035888,Operations,15.8,-1.3,-7010.400075757576,1809,50895504.55,0,2020,3,9,0,69,11,False
Ayers PLC,Tech,2.100881375609674,5290224.54,5.728979335433081,43.16371662144069,Engineering,24.1,13.0,1055.9330419161677,133,31741347.24,0,2024,10,10,3,284,41,False
Anderson-Smith,Tech,2.050800462128802,4232634.27,17.97345142494326,22.15211406267325,Sales,19.9,13.7,2263.4407860962565,1249,67722148.32,1,2021,9,20,0,263,38,False
"Wright, Ross and Werner",Fintech,1.7091777798847447,2681429.46,14.0817095162157,-2.346119077319405,Sales,13.6,8.2,-19153.06757142857,938,34858582.98,0,2022,7,28,3,209,30,False
Brown-Sandoval,Retail,3.747109292706163,854595.81,5.929529532664857,12.691148729476687,Operations,14.0,-4.3,652.363213740458,1236,5982170.67,0,2021,10,3,6,276,39,True
"Hernandez, Moreno and Howard",Tech,2.9078294911653795,8695139.68,12.74432410272964,39.63476705925295,Operations,17.1,3.2,2065.3538432304035,992,121731955.52,1,2022,6,4,5,155,22,True
Douglas Ltd,Tech,5.788870660164693,449106.41,8.467130031669425,26.76858498882893,Operations,24.4,3.9,162.71971376811592,1286,4041957.69,0,2021,8,14,5,226,32,True
"Avila, Faulkner and Arnold",Fintech,2.173449233523482,3643936.99,11.765177959886383,35.84615516733716,Marketing,25.0,-3.6,976.9268069705096,249,43727243.88,1,2024,6,16,6,168,24,True
Francis Group,Fintech,8.603443678038387,775013.14,11.686973174163354,21.24779951172965,Engineering,19.1,14.3,367.3048056872038,224,8525144.540000001,0,2024,7,11,3,193,28,False
"Munoz, Russell and Cain",Tech,1.0035246768617063,1038525.46,9.406551863304696,13.32235971784184,Sales,15.5,7.0,741.8039,198,9346729.14,0,2024,8,6,1,219,32,False
"Clark, Carroll and Gregory",SaaS,2.0309046160730526,5971167.25,8.534236330217448,14.534540010354467,Sales,7.7,-3.4,4326.932789855073,736,53740505.25,0,2023,2,15,2,46,7,False
Moore-Hahn,Tech,2.043583681712047,10665289.25,7.01675140517826,-1.3819021574812436,Sales,15.5,11.1,-355509.64166666666,1726,74657024.75,0,2020,5,31,6,152,22,True
"Barrett, House and Mcdonald",Tech,3.311864693080773,9364862.59,18.69535815094388,41.45051574878405,Operations,8.0,7.3,2401.2468179487178,814,168567526.62,1,2022,11,29,1,333,48,False
"Cox, Figueroa and Roberts",Tech,4.466332386745141,8519583.98,18.69706527598661,10.48648167256232,Operations,28.8,13.6,8783.076268041239,1200,127793759.7,0,2021,11,8,0,312,45,False
"Johnson, Wiley and Parker",SaaS,2.863562047535657,2626079.91,5.163242446803505,26.21443315818717,Operations,12.0,6.4,875.3599700000001,797,15756479.46,0,2022,12,16,4,350,50,False
Doyle-Rogers,Retail,3.770492570049271,10617687.0,10.25264951227035,43.48329218399399,Engineering,27.0,1.0,2596.0114914425426,1794,116794557.0,1,2020,3,24,1,84,13,False
"Tran, Evans and Davis",Healthcare,5.131788965811425,917790.61,15.22094813164914,19.97304736006225,Operations,7.9,8.1,404.3130440528634,1303,14684649.76,0,2021,7,28,2,209,30,False
Miller Group,SaaS,3.2125026613677887,3427883.41,13.127319099631968,28.40131277007354,Operations,12.6,4.1,885.7579870801032,1658,37706717.510000005,1,2020,8,7,4,220,32,False
"Wong, Clark and Harris",SaaS,1.058964181655286,15169336.02,9.076533943225442,38.90151594374923,Marketing,29.1,1.6,3773.466671641791,1316,136524024.18,0,2021,7,15,3,196,28,False
Palmer-Smith,Fintech,1.6941317081381966,11460492.13,8.833362052444775,9.65484749477627,Operations,21.4,11.6,11019.703971153847,343,126065413.43,0,2024,3,14,3,74,11,False
Hobbs-Andersen,Retail,0.9834279934195502,2963699.04,8.565500456962605,5.126406967902245,Marketing,13.2,-0.5,4858.523016393443,39,26673291.36,0,2025,1,12,6,12,2,True
Stone and Sons,Retail,1.9747450889422065,4393650.03,7.378326135833587,10.113808816821146,Sales,28.3,2.8,4828.186846153846,659,35149200.24,0,2023,5,3,2,123,18,False
Ellis-Pace,Healthcare,0.928846363452838,366335.13,7.941969918580839,25.119336497757462,Operations,8.4,10.4,116.29686666666667,1660,2930681.04,0,2020,8,5,2,218,32,False
Harper-Rodriguez,Retail,1.8883578869018556,1363824.14,9.98526378045686,34.75844924112998,Operations,22.5,10.1,434.338898089172,602,15002065.54,0,2023,6,29,3,180,26,False
Mays PLC,SaaS,2.0574775323158403,534889.13,8.308709134205982,20.79626358757163,Operations,16.8,-0.1,248.78564186046512,267,4279113.04,0,2024,5,29,2,150,22,False
"Peters, Santos and Barrera",SaaS,1.9354569928283376,3574687.56,11.118089387472176,53.93586467293076,Marketing,16.6,13.4,709.2634047619048,903,46470938.28,1,2022,9,1,3,244,35,False
Collins LLC,Tech,2.9884753782286047,4665538.3,5.478507246729365,6.19350899937656,Engineering,23.6,11.1,7289.903593749999,603,32658768.1,0,2023,6,28,2,179,26,False
Mendoza-Rhodes,Retail,3.026826087038053,8643075.3,16.946377641171505,26.743447028780665,Operations,18.8,2.9,3527.7858367346944,197,129646129.5,1,2024,8,7,2,220,32,False
"Rice, Rodriguez and Smith",SaaS,3.185533905763537,3270345.9,13.08190852184376,34.22738375790935,Engineering,13.7,-1.3,1009.3660185185184,1691,45784842.6,1,2020,7,5,6,187,27,True
Acevedo-Robbins,Retail,2.8229090875374894,6056356.04,6.658073823408321,-1.197209150289385,Engineering,20.0,-1.9,-201878.53466666667,1777,54507204.36,0,2020,4,10,4,101,15,False
Peters-Mullins,Fintech,3.813257637220661,275452.18,11.948425590207574,25.926057200190677,Operations,20.9,10.3,100.52999270072992,144,3029973.98,0,2024,9,29,6,273,39,True
"Beck, Quinn and Austin",Fintech,2.784142057941416,6035705.05,12.19071527157826,40.757286852457234,Marketing,28.6,-1.8,1555.5940850515465,442,66392755.55,1,2023,12,6,2,340,49,False
Jackson-Blair,SaaS,2.9027297487586297,1172419.07,11.717956128246987,21.10607487266357,Sales,25.8,2.0,540.2852857142857,90,14069028.84,0,2024,11,22,4,327,47,False
"Wilson, Carroll and Ibarra",Fintech,1.892960623010418,2742267.08,13.081187223506804,14.33105643917698,Engineering,18.6,10.1,1865.4878095238096,506,32907204.96,0,2023,10,3,1,276,40,False
Walsh-Zamora,Fintech,3.690295154990352,5631469.47,12.297881268546282,48.00978081522816,Marketing,20.2,-2.3,1106.3790707269154,1734,61946164.17,1,2020,5,23,5,144,21,True
"Jackson, Hopkins and Guerra",SaaS,0.8478813175767874,8083543.51,7.384358127083713,5.4831653607812845,Operations,23.7,-4.5,12630.536734375,1141,56584804.57,0,2022,1,6,3,6,1,False
Garcia-Miller,SaaS,2.8191460946590654,4431511.2,10.849842364025587,21.801512610505085,Sales,26.3,7.5,2061.168,1696,53178134.400000006,1,2020,6,30,1,182,27,False
"Perez, Sanchez and Brown",Healthcare,1.9167976154222843,3896069.96,12.846848696186573,12.591953128554058,Engineering,22.7,11.7,2929.375909774436,1318,46752839.52,0,2021,7,13,1,194,28,False
Glenn and Sons,Retail,5.17984235225938,1900722.49,10.38589561446613,35.07230831323388,Sales,13.0,6.5,525.0614613259668,552,19007224.9,0,2023,8,18,4,230,33,False
"Carter, Avery and Martin",Healthcare,2.959320788577449,366765.5,4.962319351932885,12.55135959413991,Operations,6.6,1.2,265.77210144927534,199,2200593.0,0,2024,8,5,0,218,32,False
Gordon-Daugherty,Fintech,3.846953672326444,1402066.18,10.05224983189194,16.544866147531405,Marketing,5.6,0.2,783.2771955307263,170,14020661.8,0,2024,9,3,1,247,36,False
"Parrish, Jensen and Pitts",Tech,4.964872593989719,2208387.87,11.338655644807476,28.06359374807125,Engineering,24.4,14.9,761.5130586206897,733,22083878.700000003,0,2023,2,18,5,49,7,True
Faulkner-Kline,Fintech,3.995019494518089,154468.46,10.936293350133663,40.48723201359813,Marketing,18.1,2.0,37.67523414634146,1149,1544684.6,0,2021,12,29,2,363,52,False
Tucker Group,Tech,0.9867189808364004,389204.47,6.029312142644201,34.66767499557211,Marketing,21.1,14.0,106.6313616438356,1805,2335226.82,0,2020,3,13,4,73,11,False
"Moody, Phillips and Rodriguez",Retail,0.9370159916020508,4582478.29,11.330826861240425,20.77155936757297,Operations,6.2,-1.8,1862.7960528455285,736,54989739.48,0,2023,2,15,2,46,7,False
Moore Group,SaaS,2.031920963877741,7661786.59,4.179834180212994,19.651428234827005,Engineering,11.9,4.1,4053.855338624339,1383,38308932.95,0,2021,5,9,6,129,18,True
Warren-Lewis,Healthcare,2.101931013111356,1925894.65,8.485824523627715,4.107619878882453,Sales,25.5,4.5,4186.7275,1575,15407157.2,0,2020,10,29,3,303,44,False
"Robertson, Mack and Hawkins",SaaS,2.865097885185568,5882583.04,11.88269819508781,39.8163362631566,Engineering,15.9,13.3,1434.7763512195122,1785,64708413.44,1,2020,4,2,3,93,14,False
Stout-Cook,Fintech,3.120530968785223,2602053.78,6.987777779233405,-1.046672636794515,Operations,11.0,7.9,-86735.12599999999,1631,20816430.24,0,2020,9,3,3,247,36,False
Stone LLC,Retail,3.665766661122603,1155865.83,5.058917981544483,30.82323811169213,Operations,8.4,0.5,339.96053823529417,732,5779329.15,0,2023,2,19,6,50,7,True
Rios-Alvarez,Tech,3.01078158920797,3771273.18,6.927829132093701,8.037832637994244,Sales,6.8,-1.2,4489.610928571429,488,26398912.26,0,2023,10,21,5,294,42,True
Serrano Ltd,SaaS,2.3234014162545487,3474980.86,11.25452751560502,56.40770744170703,Operations,9.0,-3.8,728.5075178197064,223,34749808.6,0,2024,7,12,4,194,28,False
"Bell, Wells and Cox",SaaS,2.818130777406306,6366282.94,13.418856132351246,52.56402691935179,Engineering,15.4,5.5,1363.2297516059955,675,101860527.04,1,2023,4,17,0,107,16,False
Mosley LLC,Tech,3.287781164717164,11779613.84,7.380853832771869,20.79172605568131,Operations,18.9,-2.7,4887.806572614108,781,82457296.88,0,2023,1,1,6,1,52,True
Vaughan-Paul,Tech,5.151994351294423,8449608.61,10.923866940698195,-5.908180668379757,Engineering,18.4,9.2,-21124.021525,263,92945694.71,0,2024,6,2,6,154,22,True
Hamilton-Howell,Retail,0.8868258427037542,7813354.12,14.252542234419913,49.342731730018826,Marketing,8.0,2.2,1641.460949579832,883,109386957.68,0,2022,9,21,2,264,38,False
Anderson-Bennett,Healthcare,4.472726601948028,2072876.82,6.158912581916239,11.122349386363062,Marketing,24.9,4.3,1713.121338842975,982,12437260.92,0,2022,6,14,1,165,24,False
Stone-Freeman,Healthcare,4.211819226898707,3394933.85,13.226134492936618,33.093068975050244,Engineering,19.4,7.7,824.0130703883495,955,44134140.05,1,2022,7,11,0,192,28,False
"Adkins, Johnson and Bradley",Retail,3.697941623347559,5103008.66,12.484620691472417,37.92607901295278,Sales,21.7,13.2,1095.066236051502,177,61236103.92,1,2024,8,27,1,240,35,False
Williams Ltd,Retail,4.318361135528751,2461679.24,7.46963045464772,-4.616960776095247,Operations,29.6,13.0,-5594.725545454546,1196,24616792.4,0,2021,11,12,4,316,45,False
"Rodriguez, Lopez and Coleman",Healthcare,1.8211850046053744,3083684.21,8.892843505838844,-0.4876815815437271,Marketing,14.3,14.6,51394.736833333336,1275,24669473.68,0,2021,8,25,2,237,34,False
Murray-Welch,Retail,1.813548503916679,5257573.97,8.77759235799341,-10.900985146412904,Marketing,11.5,3.8,-6043.188471264369,103,52575739.7,0,2024,11,9,5,314,45,True
Brown-Williams,Fintech,0.9875727920372562,1086805.13,13.042702165597136,30.71819707584661,Sales,18.0,-4.0,266.37380637254904,348,14128466.689999998,0,2024,3,9,5,69,10,True
"Gallagher, Hester and Alvarado",Tech,1.042332740358488,1115926.91,7.761626408466163,-8.974687980836014,Sales,20.0,-4.4,-1394.9086375,533,8927415.28,0,2023,9,6,2,249,36,False
Patel-Williams,Fintech,2.047151207491188,9320476.41,12.666489753077624,34.234573745629746,Operations,11.5,-1.5,2459.228604221636,606,130486669.74,1,2023,6,25,6,176,25,True
Harper-Wiggins,SaaS,1.8342694380605535,1734367.76,8.415890527948637,37.160111172832416,Engineering,24.4,11.5,508.6122463343109,1547,15609309.84,0,2020,11,26,3,331,48,False
Smith-Johnson,Retail,3.3472186502525987,5556676.85,9.807425303155892,16.934584399709593,Engineering,7.6,1.7,2940.0406613756613,1055,50010091.65,0,2022,4,2,5,92,13,True
"Graham, Weaver and Curtis",Healthcare,1.25170570511902,3184167.24,8.709703771976406,-8.728119837323147,Sales,7.2,-3.6,-4189.693736842106,521,28657505.160000004,0,2023,9,18,0,261,38,False
Howard-Hernandez,Healthcare,0.9335875455741484,2876452.89,9.227689521343038,23.00321716454151,Operations,10.9,12.5,1030.9866989247312,673,31640981.790000003,0,2023,4,19,2,109,16,False
"Scott, Smith and Huang",Retail,5.798964659197731,2652430.98,10.467308123714474,1.2466197866134272,Sales,7.7,6.9,11532.308608695652,320,26524309.8,0,2024,4,6,5,97,14,True
"Lowe, Lambert and Kennedy",Retail,1.810681848375407,7654305.08,9.30513316679749,45.59467871870525,Operations,5.4,5.9,1689.6920706401766,1271,76543050.8,0,2021,8,29,6,241,34,True
"Johnson, Lawrence and Smith",Retail,0.940658392018214,311246.09,8.098348355060788,39.497175272408114,Marketing,21.9,0.2,67.51542082429502,1332,3112460.9000000004,0,2021,6,29,1,180,26,False
Gonzalez PLC,Tech,2.9877718919951404,6444974.44,11.94667009745783,2.0030045785142887,Sales,15.3,2.3,23870.275703703704,1026,83784667.72,0,2022,5,1,6,121,17,True
Serrano-Martin,Tech,1.9690456492050676,5151421.02,13.71013512895146,44.713561161562026,Marketing,14.7,5.0,1253.387109489051,1808,61817052.24,0,2020,3,10,1,70,11,False
Smith PLC,SaaS,3.914619666090235,5403534.98,8.173320014944089,17.068232182569673,Engineering,29.4,-4.4,2661.839891625616,1044,54035349.8,0,2022,4,13,2,103,15,False
"Nelson, Owen and Flores",Retail,3.995105623435548,426341.78,10.90439664117028,-9.917502605381385,Sales,18.9,-4.2,-501.5785647058824,976,4263417.800000001,0,2022,6,20,0,171,25,False
Velasquez-Norris,Tech,3.0940172854510832,2299155.25,11.386001089089005,34.787239069083384,Sales,5.1,0.3,571.9291666666666,481,25290707.75,1,2023,10,28,5,301,43,True
Davis-White,SaaS,1.1415817219962343,3984883.63,6.9680145954694375,-5.786999238214982,Engineering,27.5,8.6,-7245.242963636363,517,23909301.78,0,2023,9,22,4,265,38,False
"Larson, Wallace and Hardin",Healthcare,2.0988965577880925,3075491.45,8.868453428025036,-5.5821147937635445,Marketing,7.6,-1.1,-7688.728625000001,153,24603931.6,0,2024,9,20,4,264,38,False
Mitchell LLC,Healthcare,4.035132222168809,11283271.98,13.907049007032846,38.553480695498656,Engineering,27.3,2.1,2421.303,155,146682535.74,1,2024,9,18,2,262,38,False
"Hernandez, Marks and Davenport",Healthcare,2.1879289375732256,297137.36,14.908872637251186,-0.6109732848030577,Engineering,5.9,14.1,9904.578666666666,708,4457060.399999999,0,2023,3,15,2,74,11,False
Hill-Kelley,Retail,1.9124779447718123,4028180.16,10.409481919067648,-5.08168946805095,Operations,27.6,-1.8,-8392.042,1584,40281801.6,0,2020,10,20,1,294,43,False
Brown PLC,Tech,1.8239976554327748,6539872.38,15.064656890019796,32.216256029116785,Engineering,21.3,3.8,1811.598997229917,996,98098085.7,1,2022,5,31,1,151,22,False
"Butler, Scott and Craig",Healthcare,1.6906769039635563,8919881.68,12.732891343211032,22.3991712864304,Operations,28.3,12.0,3763.663156118144,1725,124878343.52,1,2020,6,1,0,153,23,False
"Hopkins, Moore and Flores",SaaS,3.1597130331487007,2936301.9,8.168949716818023,9.21088135555932,Operations,25.8,13.4,2996.226428571428,1281,26426717.1,0,2021,8,19,3,231,33,False
Morse and Sons,Healthcare,4.57064450586213,5571568.88,7.900987411102707,8.481788752760945,Marketing,16.8,-0.2,6478.568465116279,1116,44572551.04,0,2022,1,31,0,31,5,False
Ramirez PLC,Tech,3.283541225999306,4935866.51,9.1883099869029,19.01696900035408,Marketing,14.9,2.6,2443.4982722772274,288,39486932.08,0,2024,5,8,2,129,19,False
Santiago LLC,Tech,0.93700330876407,980307.46,6.72382526028222,-2.342434625014305,Marketing,14.3,-2.4,-5159.512947368421,949,5881844.76,0,2022,7,17,6,198,28,True
Horton PLC,Fintech,2.632891903411651,3376894.32,5.622130535856576,33.20063151444923,Marketing,24.7,-3.1,907.7672903225804,1323,20261365.92,0,2021,7,8,3,189,27,False
Thomas and Sons,Tech,1.069409028660571,319084.83,8.095354619420904,6.471809816936249,Marketing,29.7,-0.7,419.8484605263158,1191,3190848.3000000003,0,2021,11,17,2,321,46,False
"Bell, Wilson and Evans",Tech,2.830296963005972,7695069.0,8.051363930691773,47.766875019231286,Engineering,15.2,-4.1,1748.8793181818182,1693,61560552.0,0,2020,7,3,4,185,27,False
"Campbell, Hill and Morrow",Fintech,0.870607328660655,3338334.38,16.279352205764756,36.64657846542936,Sales,19.4,1.5,894.9958123324398,1373,46736681.32,0,2021,5,19,2,139,20,False
"Bradley, Huff and Raymond",Healthcare,4.047179004507588,1081215.01,15.843004926591105,22.911485401439183,Marketing,6.7,13.9,429.0535753968254,690,16218225.15,0,2023,4,2,6,92,13,True
"Bauer, Smith and Hodges",Healthcare,3.137141241328669,1875204.33,11.443969002988666,23.37941500381889,Engineering,14.6,-3.5,667.3325017793594,1402,22502451.96,1,2021,4,20,1,110,16,False
"Bryant, Parker and Moore",Tech,0.8478006051682654,10267360.04,9.06591238026095,16.309417535458287,Operations,13.9,6.0,5867.06288,1505,92406240.35999998,0,2021,1,7,3,7,1,False
Todd Ltd,Healthcare,2.802586321513428,3002874.73,6.834238150114897,1.536134109930222,Engineering,23.9,10.5,12511.978041666667,943,21020123.11,0,2022,7,23,5,204,29,True
Green-Price,Tech,3.311652684255989,4861400.02,7.648646329791121,-6.351489893773408,Sales,28.4,-3.6,-9002.59262962963,1085,34029800.14,0,2022,3,3,3,62,9,False
Roberts and Sons,Healthcare,4.042684375210741,574303.64,8.823850832813395,-7.656456333790979,Operations,12.6,-1.9,-1044.1884363636364,1279,5743036.4,0,2021,8,21,5,233,33,True
Bowen Inc,SaaS,2.278433076401701,2802532.85,10.109255294741434,19.048886846470467,Engineering,23.9,10.8,1401.266425,865,36432927.05,1,2022,10,9,6,282,40,True
"Torres, Turner and Walker",Retail,3.228880734309689,8836756.96,7.646969160474358,-2.7180628549056305,Marketing,26.5,3.8,-51980.92329411765,1502,61857298.720000006,0,2021,1,10,6,10,1,True
